bootstrap_sample,selected_trace_indices,fit_start_ns,fit_stop_ns,ambient_temperature_K,S_e_mW_per_K,C_th_pJ_per_K,tau_th_ns,fit_rmse_K
102.0,"0,2,2",13.0,36.0,314.3015027333923,0.0038379016721270705,0.043661200450164174,11.376320755493962,1.5969304626497105
103.0,"0,0,2",16.0,33.0,314.37077777076104,0.003944097124375322,0.05242457738548306,13.291908320788682,1.0834458492845485
104.0,"2,2,2",13.0,36.0,314.2974676302533,0.0036218973649753627,0.05137338021268561,14.184107122824301,1.3325191788278115
105.0,"0,1,2",15.0,34.0,314.33128152820524,0.00380509483374691,0.04830633519303814,12.695172473656976,0.9236544466856764
106.0,"1,2,1",17.0,36.0,314.3691001496923,0.003388210155991795,0.037355451271399054,11.025128180239571,1.1506678012539686
107.0,"0,0,1",13.0,36.0,314.5024688698901,0.0043187293132905,0.029354848561843273,6.797103136681055,1.5945724753739476
108.0,"0,2,1",13.0,36.0,314.5366309443567,0.003686905625170638,0.10424074560353476,28.273234034492077,1.5397238257138506
109.0,"0,0,0",13.0,37.0,314.43917168689364,0.003509788337460181,0.03598120371891594,10.251673394343014,1.4530146619451245
110.0,"1,1,1",14.0,36.0,314.4909880329723,0.0036850716604071654,0.05497344528745145,14.917876870100649,1.1708307777119698
111.0,"0,2,0",16.0,36.0,314.28338271733696,0.003606057803106157,0.04441190349807661,12.315915585108327,1.1380280060874997
112.0,"2,2,2",15.0,35.0,314.35750063441617,0.003778691001160682,0.032893341734671844,8.704956749458518,1.1997359430556358
113.0,"1,1,0",14.0,33.0,314.54903997260624,0.003802643256035276,0.08183343737136592,21.52014582001241,1.276777788214094
114.0,"0,0,0",16.0,37.0,314.51023925182704,0.0037570876392035617,0.04780272733512655,12.723346359112323,1.3067257567888018
115.0,"2,2,0",17.0,36.0,314.508633398128,0.0037050718036725555,0.05176655164496535,13.971807940038602,1.1385994354925775
116.0,"1,1,1",16.0,34.0,314.26772536979087,0.00347521826954672,0.0305284844726903,8.784623613489519,0.8875336750535254
117.0,"1,0,2",17.0,33.0,314.35473372018333,0.0038137168760241963,0.0938616531871755,24.61159447290339,1.1419158035514336
118.0,"0,2,1",14.0,36.0,314.3074205011162,0.0035690080695093963,0.031629117603367056,8.86215917346325,1.2708192105276084
119.0,"2,0,2",16.0,33.0,314.44553221069265,0.0037180021546049063,0.07334522371241524,19.72705250360708,1.103355244846788
120.0,"1,1,2",14.0,35.0,314.2937632318693,0.003749158217271516,0.04817735364851515,12.850178855235578,1.397109489809091
121.0,"0,1,1",14.0,34.0,314.50608753941185,0.003788459460363286,0.043576759531984366,11.5025012113514,0.9089388285178749
122.0,"0,1,0",16.0,34.0,314.487782578186,0.004032476026210078,0.0331056946670453,8.209768502494901,1.1759184752332625
123.0,"1,1,2",14.0,35.0,314.4233743556801,0.0035575950487204537,0.03698992914800871,10.397453516052293,1.2312487981875913
124.0,"2,2,0",16.0,33.0,314.487782578186,0.004032476026210078,0.041584419228132725,10.312378538110204,1.1649406707243626
125.0,"2,2,1",16.0,35.0,314.5341280825078,0.0036617622480941995,0.06228491987597425,17.009547768534414,1.2398108289202996
126.0,"2,2,2",15.0,36.0,314.5250539081359,0.0034571530314593305,0.05951768008760004,17.21580721073157,1.1918696033439826
127.0,"1,0,2",16.0,34.0,314.3960593768583,0.003664606999973475,0.07332576598469827,20.009175877584966,1.087817180221573
128.0,"1,1,2",17.0,33.0,314.54903997260624,0.003802643256035276,0.07204939424152008,18.94718736162499,0.9560253564527109
129.0,"1,0,1",17.0,35.0,314.34859012792265,0.0036577973905523482,0.040440381887492015,11.05593819710864,0.8766713441875734
130.0,"2,2,2",17.0,34.0,314.34561129525304,0.003611182603892065,0.036253957445598194,10.039358687241226,1.111801320859823
131.0,"0,0,0",15.0,33.0,314.3096898590263,0.0037555542114126057,0.04022787114808395,10.711567157208664,1.0527079082538522
132.0,"0,1,1",14.0,34.0,314.43890337706716,0.003598360725726416,0.050545754215143596,14.046883586119542,1.1663457757820914
133.0,"0,2,1",13.0,35.0,314.52062524123926,0.0037296541751328733,0.06258271157840258,16.779762583798536,1.5440093710373803
134.0,"2,0,0",14.0,36.0,314.3318120814939,0.003444817453620638,0.047439729961197795,13.771333488611067,1.3028964246798787
135.0,"1,1,2",16.0,36.0,314.3275412729541,0.003660741407268125,0.02690343296488608,7.349176019773303,1.2822940089890837
136.0,"2,0,0",14.0,37.0,314.3559569193847,0.0036522235851334205,0.03197623099778367,8.755277504899945,1.563945821754673
137.0,"2,0,2",16.0,37.0,314.34308563445853,0.003731259349419325,0.06195623193574983,16.604643669540618,1.2171487950420459
138.0,"2,1,1",14.0,33.0,314.45893349141306,0.003648082559271045,0.06177489493671362,16.933524374255775,1.1880348440435218
139.0,"0,0,0",15.0,34.0,314.4096059657145,0.0035183544723388386,0.07192147856117086,20.441794346366926,1.1603862571050263
140.0,"2,1,0",15.0,37.0,314.26530828827816,0.0037129046337278713,0.034385320147796994,9.2610297165842,1.2587799801912083
141.0,"0,1,0",17.0,34.0,314.3878622491952,0.003500242471430329,0.020958888591127323,5.987839060350223,1.1806857858666056
142.0,"0,2,2",16.0,35.0,314.48342171618503,0.003796820668247582,0.03398336203891504,8.950478573590367,1.3351984728948303
