bootstrap_sample,effective_resistance_ohm,power_uW,inferred_temperature_K,ambient_temperature_K,delta_temperature_K,S_e_uW_per_K
64.0,1680.9691087902418,60.698716553613316,332.06575313841864,314.3489757728272,17.71677736559144,3.4260585489717252
65.0,1683.7630739445467,60.621185106371605,330.6490646323,314.33110282973337,16.31796180256663,3.7149973654697845
66.0,1684.7440231911953,60.621185106371605,330.40040678571324,314.35750063441617,16.042906151297075,3.778691001160682
67.0,1679.0354266421664,60.59820297679279,330.63860914689525,314.2722486681706,16.36636047872463,3.702607128540712
68.0,1678.4723968920753,60.64134968720046,330.5785339502408,314.2702948982325,16.308239052008275,3.7184486622872255
69.0,1678.4723968920753,60.65805682667344,330.3133373903041,314.51016447347087,15.803172916833262,3.8383467134034546
70.0,1678.566898048072,60.70221423528794,329.6713318501701,314.30975407228317,15.361577777886907,3.9515611685844654
71.0,1679.8496172583045,60.580617230477465,331.2944416462855,314.4749054354351,16.8195362108504,3.6018006959904447
72.0,1674.9153515804858,60.69869543719616,332.13699252894816,314.49395588323773,17.643036645710424,3.4403768838712874
73.0,1681.5322574156603,60.67859038856864,331.6411232718306,314.54306956678755,17.09805370504307,3.548859503855195
74.0,1679.7588645990738,60.698716553613316,331.68723171719347,314.51131680007376,17.175914917119712,3.5339437140034513
75.0,1681.9216970943453,60.69870378790712,330.27522104706077,314.29452734977457,15.980693697286199,3.7982521245754697
76.0,1682.089125165839,60.88718916955073,331.5024568009529,314.2559467540607,17.24651004689224,3.5304063839003987
77.0,1680.093343785784,60.49357217364893,331.26446984945835,314.2959725690872,16.96849728037114,3.565051823630065
78.0,1681.5320840437812,60.4793448393201,331.99876110038326,314.49083300123147,17.507928099151798,3.454397601864159
79.0,1682.9865028656789,60.6631951368349,331.8188711162095,314.4188153151937,17.40005580101581,3.486379344444022
80.0,1679.5986978137355,60.61486929937127,331.6216316586401,314.4203142996671,17.20131735897303,3.5238504141516613
81.0,1683.6062530678748,60.78556101960083,332.02609712989863,314.2982959553837,17.727801174514923,3.4288268703613816
82.0,1680.725352464831,60.61486929937127,330.51788029054484,314.52474750744665,15.99313278309819,3.7900560272612807
83.0,1680.6357782114778,60.745153551211374,332.07067067023786,314.53578912668956,17.534881543548295,3.4642465876002264
84.0,1678.0054090199208,60.398923373069074,331.1415710989399,314.36808432566653,16.773486773273362,3.6008567681531707
85.0,1677.5404783420813,60.6388052405981,330.52314550619343,314.45484222662066,16.068303279572774,3.7738150808795523
86.0,1675.3074924063735,60.59820297679279,330.5112804779291,314.426849222174,16.084431255755135,3.7675067282910786
87.0,1682.4186834884886,60.39891712882021,330.01386411920765,314.2729950995876,15.74086901962005,3.837076406235042
88.0,1677.2756985331255,60.65552902631116,329.8742597063824,314.46999654341533,15.404263162967084,3.937580680400946
89.0,1679.7770393150477,60.65552902631116,331.88731395104116,314.4863229046844,17.40099104635675,3.485751407188421
90.0,1679.5986978137355,60.62139285855867,330.5925234577378,314.26530828827816,16.327215169459635,3.7129046337278715
91.0,1680.885063596321,60.79674766296982,331.11119492589154,314.2684219559761,16.842772969915416,3.609663787047718
92.0,1679.7588645990738,60.698716553613316,332.13774738046783,314.52127120619207,17.61647617427576,3.445565160315538
93.0,1681.2908937326795,60.64363492181105,332.26251999765776,314.32454696981597,17.937973027841792,3.3807406682842687
94.0,1679.289059474553,60.621185106371605,331.359394141854,314.33029763937975,17.02909650247426,3.5598591562132254
95.0,1683.5457703575285,60.719184117655814,331.3130271088946,314.43890337706716,16.87412373182741,3.598360725726416
96.0,1680.9041553575776,60.53415053593246,331.06349580941264,314.29968334401786,16.76381246539478,3.6110014151549334
97.0,1678.4725711170213,60.69870378790712,331.5748947811145,314.2912478997701,17.283646881344396,3.5119152922190295
98.0,1676.1495718364115,60.61486929937127,330.75893851209366,314.48234948199405,16.276589030099615,3.724052329838809
99.0,1680.1605950974129,60.66433842502213,330.73775947019305,314.4472595151792,16.290499955013843,3.7239089403361767
100.0,1681.5322574156603,60.580604489609044,329.10977190438234,314.2794581950081,14.830313709374252,4.084917263167266
101.0,1678.099846251568,60.49694585570931,332.1533702551335,314.2512977607596,17.902072494373897,3.379326381050113
102.0,1681.2908937326795,60.621185106371605,330.84293736680803,314.3146879304996,16.528249436308442,3.6677317425523586
103.0,1679.8497904567153,60.72256049645529,330.97672888794546,314.3569199938712,16.619808894074254,3.6536256754495984
104.0,1680.4077833060528,60.63798409689032,331.6280079202297,314.3530304334555,17.27497748677422,3.5101628435298955
105.0,1677.5404783420813,60.70221423528794,331.50392163236467,314.41295310399977,17.090968528364897,3.55171294912538
106.0,1678.965554029975,60.511089173674975,331.5817332002227,314.3262057567824,17.255527443440315,3.50676554930103
107.0,1676.9820556461254,60.53751373160345,330.8565764881237,314.4655976089112,16.390978879212525,3.693343404180621
108.0,1682.4812586623957,60.69617598754483,330.68304007471363,314.49634090798264,16.18669916673099,3.7497562265378668
109.0,1680.2309217519023,60.698716553613316,331.88205855930886,314.4531917534624,17.42886680584644,3.4826542212860443
110.0,1677.8382927604591,60.49693311484089,331.09939785390344,314.4793042620031,16.620093591900343,3.639987511521809
111.0,1681.131912566409,60.62139285855867,330.59061012906517,314.26040272349866,16.33020740556651,3.712224306342523
112.0,1679.219325040648,60.511089173674975,331.0268776725459,314.4427733196942,16.584104352851682,3.6487402567067138
113.0,1675.3074924063735,60.55758167770207,331.1542846131843,314.51472970072035,16.63955491246395,3.6393750912376315
114.0,1683.6165875212018,60.62117883101849,331.3515654731605,314.54840389924584,16.80316157391468,3.6077245680436203
115.0,1687.4245376571923,60.65837033440424,329.4715925228719,314.4879547074976,14.983637815374323,4.048307299056859
116.0,1680.0022637245877,60.45636523894676,331.06925578971914,314.33677278985425,16.732482999864885,3.6131138002312593
117.0,1678.308223449765,60.66181301743851,329.17196313075505,314.4572328689048,14.714730261850264,4.122522937081061
118.0,1676.7106774051254,60.45637778965298,331.1412442895564,314.31366951706616,16.827574772490266,3.5926970230129136
119.0,1676.4208136117372,60.53104757654161,330.3998162403117,314.4632664218332,15.936549818478454,3.7982529635339115
120.0,1681.9216970943453,60.70473339233153,331.69673905535035,314.5078806570776,17.18885839827277,3.531632641666969
121.0,1681.9216970943453,60.72256049645529,329.9474833562614,314.42931298260396,15.518170373657426,3.9129974110565064
122.0,1682.9865028656789,60.6631951368349,330.5187163589948,314.50608753941185,16.01262881958297,3.7884594603632857
123.0,1682.6526968113933,60.62117883101849,331.47444049460967,314.35668744324363,17.117753051366037,3.541421508366764
124.0,1683.5457703575285,60.76474818525055,329.83421104385934,314.3258614065129,15.508349637346441,3.9181956562882676
125.0,1683.7630739445467,60.661746706912616,331.68802916913614,314.2945441805584,17.393484988577768,3.487613134846119
126.0,1683.0483517454386,60.621185106371605,331.70771956304,314.27574336649593,17.431976196544042,3.4775853536554275
