I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,n_cycles,V_pp_mV,V_std_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
1050.0,200.0,65.30596660095905,0.18742595383073912,301.1153579099965,3629.7134212294072,18.197838136784316,725.9426842458814,3.6395676273568633,0.1091870288207059,0.1091870288207059,0.03,0.00015040723075008432,0.007947871508462441,2747.579114847284,1.0,0.0,0.0,1193.586386577919,344.2707856144124,3.571995729130392,0.7494737045245818,inf,inf,0.831411725525464,0.0,0.0,0.0,0.21362029147296885
1250.0,200.0,65.30596660095905,0.18742595383073912,301.1153579099965,3629.7134212294072,18.197838136784316,725.9426842458814,3.6395676273568633,0.1091870288207059,0.1091870288207059,0.03,0.00015040723075008432,0.007947871508462441,2747.579114847284,1.0,0.0,0.0,1419.956414887698,409.62865365915616,3.571995729130392,0.749449041830759,inf,inf,0.830283902496563,0.0,0.0,0.0,0.213544163418518
1450.0,200.0,65.30596660095905,0.18742595383073912,301.1153579099965,3629.7134212294072,18.197838136784316,725.9426842458814,3.6395676273568633,0.1091870288207059,0.1091870288207059,0.03,0.00015040723075008432,0.007947871508462441,2747.579114847284,1.0,0.0,0.0,1645.8038278798713,474.87114263392135,3.571995729130392,0.7494197019654795,inf,inf,0.8289472771613957,0.0,0.0,0.0,0.21345394120839423
1650.0,200.0,65.30596660095905,0.18742595383073912,301.1153579099965,3629.7134212294072,18.197838136784316,725.9426842458814,3.6395676273568633,0.1091870288207059,0.1091870288207059,0.03,0.00015040723075008432,0.007947871508462441,2747.579114847284,1.0,0.0,0.0,1871.0356007244363,539.9782471328565,3.571995729130392,0.7493854910112705,inf,inf,0.8273955176340109,1.0,0.0,0.0,0.0
1850.0,200.0,65.30596660095905,0.18742595383073912,301.1153579099965,3629.7134212294072,18.197838136784316,725.9426842458814,3.6395676273568633,0.1091870288207059,0.1091870288207059,0.03,0.00015040723075008432,0.007947871508462441,2747.579114847284,1.0,0.0,0.0,2095.5542519811916,604.9292407846626,3.571995729130392,0.7493461804310798,inf,inf,0.8256211565391935,1.0,0.0,0.0,0.0
50.0,43.222904876539246,96.71100133514477,0.13706847007416811,298.0,3978.853826544875,18.197838136784316,171.9776204624033,0.7865634267448867,0.0235969028023466,0.0235969028023466,0.03,0.0001372091481374183,0.0017176504709061427,12713.532895095303,1.0,0.0,0.0,142.31090366083953,40.22361810868975,3.571417746809289,0.7490538324960407,inf,inf,0.4428962909689666,0.0,0.0,0.0,0.14142742495830748
250.0,43.222904876539246,96.71100133514477,0.13706847007416811,298.0,3978.853826544875,18.197838136784316,171.9776204624033,0.7865634267448867,0.0235969028023466,0.0235969028023466,0.03,0.0001372091481374183,0.0017176504709061427,12713.532895095303,1.0,0.0,0.0,709.6907253501274,200.69212028707443,3.571417746809289,0.7489233859708574,inf,inf,0.4396796801871759,0.0,0.0,0.0,0.1871783784126344
450.0,43.222904876539246,96.71100133514477,0.13706847007416811,298.0,3978.853826544875,18.197838136784316,171.9776204624033,0.7865634267448867,0.0235969028023466,0.0235969028023466,0.03,0.0001372091481374183,0.0017176504709061427,12713.532895095303,1.0,0.0,0.0,1269.5755496854413,359.4521191366334,3.571417746809289,0.7486137563438693,inf,inf,0.43212242428452646,0.0,0.0,0.0,0.18666826363920555
650.0,43.222904876539246,96.71100133514477,0.13706847007416811,298.0,3978.853826544875,18.197838136784316,171.9776204624033,0.7865634267448867,0.0235969028023466,0.0235969028023466,0.03,0.0001372091481374183,0.0017176504709061427,12713.532895095303,1.0,0.0,0.0,1815.8105399000135,515.1188273416394,3.571417746809289,0.7481121907729646,inf,inf,0.420099991553877,1.0,0.0,0.0,0.0
850.0,43.222904876539246,96.71100133514477,0.13706847007416811,298.0,3978.853826544875,18.197838136784316,171.9776204624033,0.7865634267448867,0.0235969028023466,0.0235969028023466,0.03,0.0001372091481374183,0.0017176504709061427,12713.532895095303,1.0,0.0,0.0,2341.9708997798793,666.2787745394675,3.571417746809289,0.7473982754350615,inf,inf,0.40341657018823013,1.0,0.0,0.0,0.0
