mode,evaluation,elapsed_s,loss,mean,amplitude,robust,frequency,persistence,waveform,static_rmse_log10,screened,outside_domain,C_pF,S_e_mW_per_K,tau_th_ns,T0_K,Tc_K,w_K,beta_per_K,gamma,Rs_315K_ohm,Ea_over_k_K,Rm_ohm
dynamic_diagnostic,290,399.5547581669962,44.45657975091114,16.82260937719115,5.094865550374838,5.626606838706192,2.1894257389934157,0.3071375691643472,42.51417656649073,0.17992605816558851,False,False,13.670659901187094,0.006146884902747524,17.790869530012912,314.19358469955205,332.5849848626367,5.776722117449136,0.3194857659985296,0.19973899076845839,1997.1322048952718,2540.248773376658,31.959333176972347
dynamic_diagnostic,291,401.2071886249978,33.47402583993298,6.8236628269554,4.843394070252845,5.116084502824918,1.671109358840904,0.32139998863262115,31.16228408355076,0.19628812820197997,False,False,13.628021033574266,0.0038533117946199526,13.397832077177274,311.6683708575229,333.4781917202079,3.8561276252290595,0.2565741291907389,0.17223363170757042,1549.080438264667,2642.6073657102115,24.851188582991636
dynamic_diagnostic,292,402.896503416996,35.49686846682064,9.039886597264985,4.750339119726098,4.785895069308809,1.1814962904008912,0.36638337523531206,33.064147673776276,0.20135875086705163,False,False,8.832740879157313,0.0036108157646475387,12.238322013688357,314.2669919821255,337.49734821376376,7.68309015719347,0.31191106845715894,0.14155279558390485,1537.3859492937768,3154.7597336527015,18.51912868177391
dynamic_diagnostic,293,404.4961983749963,217.56082741231398,190.69928870377095,4.56075773008778,4.519320095759451,0.943460962310206,0.6573969640130204,217.26137603910507,0.07064599224406565,False,False,4.555004848700837,0.014463631199567156,16.082126128109163,313.0071577582138,333.0185021648744,6.273767778646548,0.3280811948968024,0.20697716995717247,2420.975003273847,2598.448258987914,20.44097346596773
dynamic_diagnostic,294,406.26070349999645,35.955657244389286,10.721773869717468,3.2824731192829866,3.030694501096308,1.2800889227904844,0.8988047052528153,35.02558865309176,0.12450358704990046,False,False,7.3389712855098725,0.003159919522896798,32.997219884554134,313.56371570430116,330.95799213474635,5.3694594653828025,0.2364929852268341,0.42408095317544836,3364.2435076522765,2802.407491270586,21.08383459337131
dynamic_diagnostic,295,407.91411358399637,23.48080841893515,8.898137311282774,1.429592385339935,1.395394208862041,1.4042699020418716,0.6238783080687059,22.770983324010025,0.10876772613579866,False,False,5.453757201482597,0.003540489503415117,11.413948498985041,314.42488168545015,332.74813701099185,8.722337713601652,0.2904909326391757,0.1298211592478801,2405.330697913295,2564.7820753581955,24.956350092094695
dynamic_diagnostic,296,409.54655620899575,10071.988486868328,47.68698086078658,2.6914799674618903,2.8555111465677943,0.5830933898678549,0.8238352849232149,68.79450202375256,0.23072295235392604,False,True,9.657383843080046,0.001444375338463097,12.686436390621655,315.1429181635747,331.0129425271186,7.986147615631547,0.22088115283385237,0.11652118139524334,1886.2003070304,2563.887112553852,36.63345755106504
dynamic_diagnostic,297,411.2037450419957,10023.490601341944,10.028840821067439,1.2269896639410647,1.479569248633728,3.3692136424286443,0.44225336163626594,22.181026222373873,0.14773710431989695,False,True,5.072298374357122,0.003245647218379683,6.333349982893895,313.49232728600197,330.6488627546038,10.089787345126723,0.22619381911023487,0.4069914105992022,3493.8123070924225,2774.0363111475353,19.326736922897748
dynamic_diagnostic,298,412.81775537499925,10029.58375837627,4.415436778042712,5.4380860181151744,5.499395795631097,4.095766129957491,0.0,28.276973692998073,0.14757962163248112,False,True,21.13979970364539,0.0032839662770343734,11.14322659529744,313.0440241042996,333.5684679761732,6.108297500097698,0.2904075479610226,0.1392234636885462,2087.7396358337824,2316.981666946469,29.832574468835027
dynamic_diagnostic,299,414.4373275839971,10055.8143573421,22.220184068266647,7.370724411494673,7.568886679594988,3.279700114127899,0.15445472257036122,55.394550710253945,0.08364674050687142,False,True,9.020801370856693,0.005717482747250846,15.409863028441336,313.2386149485013,333.3836145700925,6.533197578559622,0.35874905193069995,1.670763867594108,2597.5793859236164,2715.6623867832122,15.564183777063556
