window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,candidate,dt_ns,source_mV,split
0,50.0,100.0,208.65593582948196,2.609267445686669,2.0041448878174037,0.4476095053260475,0.04461468272505098,frozen,0.0125,550.0,validation
1,100.0,150.0,208.13054767780875,1.7512438854506627,1.693697519306852,0.43067391788526505,0.010051569069234656,frozen,0.0125,550.0,validation
2,150.0,200.0,207.90869935878334,1.5941187258144964,1.3687405867340203,0.0595635345641368,0.0002712169002722087,frozen,0.0125,550.0,validation
3,200.0,250.0,207.85891372993328,1.632124508162832,1.4857142122028506,0.05874575694702648,0.00022587121648676156,frozen,0.0125,550.0,validation
0,50.0,100.0,194.07608050305143,2.1165310534032926,1.5714007271276955,1.3165433428601807,0.1814100423473648,frozen,0.0125,600.0,validation
1,100.0,150.0,193.6384632224666,1.1361384388939655,1.0265092195774344,0.13835575312070908,0.0008441799233155356,frozen,0.0125,600.0,validation
2,150.0,200.0,193.77438901474414,1.206903676445279,1.0445737204583736,0.19366727124034464,0.007538455916246023,frozen,0.0125,600.0,validation
3,200.0,250.0,193.58547019564136,0.9022805465265265,0.7967104888596168,0.264399659684223,0.016034066870613817,frozen,0.0125,600.0,validation
0,50.0,100.0,181.92209715501585,1.9188968668250368,1.320115344155738,0.1435151766341433,0.02195886954384041,frozen,0.0125,650.0,train
1,100.0,150.0,181.51835067475906,0.986352766721609,0.8871435407271235,0.05670961592516755,0.004040020450906123,frozen,0.0125,650.0,train
2,150.0,200.0,181.3248285954212,1.110955631183998,0.860547896839222,0.09685068757561938,0.013197918553903398,frozen,0.0125,650.0,train
3,200.0,250.0,181.22966735102736,0.9467446329495317,0.8877060778611394,0.027678795032913466,0.0009063577797010502,frozen,0.0125,650.0,train
0,50.0,100.0,170.9815435665888,1.950666009940477,1.314481818414805,0.7174359942184075,0.08828123653274289,frozen,0.0125,700.0,validation
1,100.0,150.0,170.58814569149285,1.1233688937881823,0.9453795866721748,0.6116109781847096,0.00665345950914753,frozen,0.0125,700.0,validation
2,150.0,200.0,170.3883881895541,1.1505500564049953,1.0710811911289966,0.11728778783045442,0.001337049847399907,frozen,0.0125,700.0,validation
3,200.0,250.0,170.35178227868016,0.9520207241668857,0.8555333972039136,0.8366119362512022,0.013936137454147346,frozen,0.0125,700.0,validation
0,50.0,100.0,161.6792236458518,2.1409260465164834,1.500007059519362,0.34186748171377174,0.04895622111253917,frozen,0.0125,750.0,validation
1,100.0,150.0,161.83212375746297,1.276516994052514,1.2178754880489464,0.043562468661263135,0.0010730774102137852,frozen,0.0125,750.0,validation
2,150.0,200.0,161.784436256973,1.5280415319861618,1.391040181687032,0.25077134635836174,0.034569570662416615,frozen,0.0125,750.0,validation
3,200.0,250.0,161.76515194814058,1.314078620172637,1.2597997736179138,0.0776264001181717,0.003518484649994491,frozen,0.0125,750.0,validation
