C_pF,C_th_pJ_per_K,S_e_mW_per_K,name,gamma,replay_step_ns,source_file,source_setting_mV,current_uA,temperature_min_K,temperature_max_K,temperature_mean_K,measured_resistance_mean_ohm,replayed_resistance_mean_ohm,resistance_rmse_ohm,resistance_log_rmse,fraction_above_major_heating_branch,late_invalid_resistance_fraction,outside_temperature_calibration_fraction,smoothing_window
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,350mv0_converted.csv,350.0,267.07439601247086,327.5530991017443,328.70829682061265,328.0948282148712,711.7171214286312,1792.4383279026144,1088.7596264297927,0.9609177050699447,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,400mv0_converted.csv,400.0,303.3911472089279,329.62385497642106,330.56780564858275,330.1079763368657,618.8494207894227,1681.7007742400217,1066.7813300048815,1.0218361459481664,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,450mv0_converted.csv,450.0,341.9425303334189,331.2788946585987,332.04492861109395,331.6702363741402,543.6778432052596,1563.9744365427753,1022.1306180296394,1.0688893366523453,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,500mv0_converted.csv,500.0,381.06588239966646,333.32824120230043,333.9386604967586,333.63188785267783,488.4121672435573,1307.964001343982,821.0935476027828,0.9926396608756975,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,50mv0_converted.csv,50.0,37.79944238139679,315.30837131018416,315.32429843547084,315.3172363195334,2317.5257234282963,2511.264788637067,196.53184383326646,0.08164541592936089,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,550mv0_converted.csv,550.0,419.61731636118117,335.3489405707828,335.862278883971,335.6175595178661,441.17624883923725,931.9572457795095,493.23158480972916,0.7533059088788031,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,600mv0_converted.csv,600.0,458.3699322834958,337.3668350396248,337.79701254624223,337.57123535322063,406.2137219772026,500.2581944229579,99.89950883946614,0.22059357646400174,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,650mv0_converted.csv,650.0,495.4173600492479,339.01004603798634,339.3467487604582,339.186268165615,371.71004807550025,257.93557633503826,115.11808106751096,0.3704671179229448,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,700mv0_converted.csv,700.0,533.4180352284689,340.60579893627124,340.91235720515056,340.76627962429785,340.7151551339026,125.6493195637618,215.3408179878108,1.0003978743211648,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,750mv0_converted.csv,750.0,570.4337430744487,342.38737864087415,342.62316863668144,342.49232892989113,317.67631504893757,58.18696450715018,259.6036824768485,1.6981023971686904,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,800mv0_converted.csv,800.0,606.6551780288738,344.1877084192921,344.334152024176,344.2590487552981,298.2108713285761,31.89931272752214,266.3398294091027,2.235237498237886,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,850mv0_converted.csv,850.0,646.2233016263873,346.0431674023627,346.3005810535329,346.1527256010942,279.40774791155536,22.141152617954972,257.27543039792636,2.5352469499593866,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,900mv0_converted.csv,900.0,682.8259268820619,347.3145425886706,347.49963052103345,347.4227439163849,260.6128530389083,20.238067249260325,240.3803710569908,2.55546197283562,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,950mv0_converted.csv,950.0,722.372921341621,348.99698981003866,349.3253440859524,349.18487835217127,245.00311323851165,18.86113980737063,226.148684528747,2.564151801710638,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.25,1000mv0_converted.csv,1000.0,759.2191989197131,350.323903566245,350.62274502771055,350.51720260250136,230.55558060730556,18.51736308560513,212.04832884133165,2.521758827803177,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.25,100mv0_converted.csv,100.0,76.17083384633712,317.9183576780293,317.96456034409545,317.94385972308123,2245.5564588875172,2350.9218073174507,107.94464063062463,0.047081365760544565,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.25,1100mv0_converted.csv,1100.0,834.7865599618726,354.06882461405917,354.29223659384445,354.20057680153855,209.96291429798154,18.246975681569317,191.73570557696462,2.4428807772427206,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.25,1200mv0_converted.csv,1200.0,908.6058899457871,356.9204625337597,357.2684606352397,357.1092970141962,190.4078320014925,18.220463176765065,172.2060883289339,2.3465719090761836,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.25,150mv0_converted.csv,150.0,114.17150902555795,321.81118216763895,321.8737416301015,321.8443925801675,2105.387001524954,2135.6754525061883,33.03483485721982,0.015617277159672488,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.25,200mv0_converted.csv,200.0,152.35217904164247,326.626665823072,326.7518582200808,326.7206871586966,1957.2703914348324,1896.7169709158416,61.35116591063144,0.031812428180952715,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.25,250mv0_converted.csv,250.0,189.60094286792295,330.76056014420374,330.94082644236084,330.8792823496039,1680.6169070790982,1681.4088424833694,5.269111110116817,0.0031339846652693204,0.40594059405940597,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.25,300mv0_converted.csv,300.0,228.7136509323431,328.51378096121647,329.45334422566367,328.96919734300474,1017.9021323048438,1780.7320061107673,776.2087205417349,0.5866893293046513,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.25,350mv0_converted.csv,350.0,267.07439601247086,327.5530991017442,328.7082968206126,328.09482821487114,711.7171214286312,1819.2295091081373,1115.4892759577876,0.9754837618521749,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.25,400mv0_converted.csv,400.0,303.3911472089279,329.623854976421,330.5678056485827,330.10797633686565,618.8494207894227,1710.6407446530786,1095.7582757787077,1.0387972225407365,0.0,0.0,0.0,
