window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,source_setting_mV,current_uA,candidate,dt_ns
3,200.0,250.0,273.8626514679956,212.67200295833163,196.1752482650449,127.61490562805987,0.6058850543616707,350.0,266.70376233691485,reference,0.0125
0,50.0,100.0,219.48445895371395,371.72555826030066,354.32096272160624,277.9118911339076,0.6463792710382246,400.0,303.2005083702369,reference,0.0125
1,100.0,150.0,219.91891078843568,370.18158352421545,352.999916106716,275.4928284038862,0.644339485004342,400.0,303.2005083702369,reference,0.0125
2,150.0,200.0,218.9797082617724,370.8162463858481,347.0352604478748,265.42593632842284,0.5933023852129191,400.0,303.2005083702369,reference,0.0125
3,200.0,250.0,221.81163314246507,370.6419815487585,352.5404948167327,256.8853930810225,0.5872512708492663,400.0,303.2005083702369,reference,0.0125
0,50.0,100.0,207.4873961511637,378.2855936764141,361.52637348916267,256.10934685221497,0.5860444232308737,450.0,341.5718172250129,reference,0.0125
1,100.0,150.0,215.63867165861143,374.6849201313202,362.3161010468947,300.11765254887337,0.6914403428666698,450.0,341.5718172250129,reference,0.0125
2,150.0,200.0,203.55906637627191,374.677904944458,359.74989917696536,255.73174693255714,0.5713161979541488,450.0,341.5718172250129,reference,0.0125
3,200.0,250.0,228.48237048641968,375.55790220285866,359.79983028264235,295.6694759102832,0.6982799147148612,450.0,341.5718172250129,reference,0.0125
0,50.0,100.0,205.7501116330247,302.20641799699337,283.96563842436933,246.83325144724927,0.8007650399329882,500.0,380.88580812995247,reference,0.0125
1,100.0,150.0,180.5384151527495,309.29525446086336,270.92121079177736,203.12761076734023,0.7667643867924269,500.0,380.88580812995247,reference,0.0125
2,150.0,200.0,184.67049045960863,312.51389013128613,282.6755346093755,228.1457062194755,0.7017669110403686,500.0,380.88580812995247,reference,0.0125
3,200.0,250.0,208.31046741022394,364.81768819863356,336.7864932358997,249.92450550721438,0.721812516662391,500.0,380.88580812995247,reference,0.0125
0,50.0,100.0,166.86460149445784,287.1841279502912,274.0527826207708,243.8826228686917,0.7944502113726178,550.0,419.0559644140832,reference,0.0125
1,100.0,150.0,150.95788597638833,292.3022315515084,274.30020877000294,264.52454619616196,0.7970567195021686,550.0,419.0559644140832,reference,0.0125
2,150.0,200.0,153.44581634572498,286.7193016483333,275.99437170587,252.51855694304984,0.817872613680654,550.0,419.0559644140832,reference,0.0125
3,200.0,250.0,168.08954147512242,289.07549394595844,278.1432879599612,259.1977008564651,0.824925993039177,550.0,419.0559644140832,reference,0.0125
0,50.0,100.0,143.1275299920952,263.7038002006861,258.9483508659155,247.60292175435615,0.816110291062987,600.0,457.8085803363978,reference,0.0125
1,100.0,150.0,146.75039170958044,258.0791840067639,256.33287360101224,244.47201203186438,0.8233290923270055,600.0,457.8085803363978,reference,0.0125
2,150.0,200.0,147.95147853857065,259.0081771464402,255.35135540988728,243.09228040610816,0.8517343653989357,600.0,457.8085803363978,reference,0.0125
3,200.0,250.0,148.34496095483675,258.5548950328755,255.12228495732185,242.68488593447063,0.817079070055901,600.0,457.8085803363978,reference,0.0125
0,50.0,100.0,138.61883462565524,222.26458698117744,216.26655014231434,211.71778258049167,0.857932692559082,650.0,494.4853744265939,reference,0.0125
1,100.0,150.0,132.3575521860434,215.34718117933113,210.56312789044216,200.97487114046245,0.8778917243623754,650.0,494.4853744265939,reference,0.0125
2,150.0,200.0,144.6062849756763,214.87635304572802,211.02829393013346,203.6568041212827,0.8731788265878704,650.0,494.4853744265939,reference,0.0125
3,200.0,250.0,128.81854676993072,214.08806979145726,210.3648782210335,202.6257091142616,0.8685899779076149,650.0,494.4853744265939,reference,0.0125
0,50.0,100.0,128.45558229295207,177.04083886876666,161.0171634662298,157.4449444505646,0.8969025489569271,700.0,532.8566832813709,reference,0.0125
1,100.0,150.0,129.19263909034743,155.59148190308588,153.64341454750397,151.69798555509936,0.9213461135182706,700.0,532.8566832813709,reference,0.0125
2,150.0,200.0,129.35872446731253,150.95149258196597,148.4650863091966,150.09841434715113,0.927722992341781,700.0,532.8566832813709,reference,0.0125
3,200.0,250.0,129.16243567172668,152.52713207602446,150.30170105209518,150.02581321752385,0.9283537338867603,700.0,532.8566832813709,reference,0.0125
0,50.0,100.0,119.35666942279518,94.44645630118376,82.62728008482988,79.91159444963715,0.9359393899172956,750.0,570.0736739678696,reference,0.0125
1,100.0,150.0,123.01001560691462,61.764281983104055,57.40478591782875,57.31017264889186,0.9787039239666495,750.0,570.0736739678696,reference,0.0125
2,150.0,200.0,121.3557643372093,47.04063871729454,41.10357368622245,41.997957616716896,0.9856370995286132,750.0,570.0736739678696,reference,0.0125
3,200.0,250.0,121.1723496086906,33.07197482860971,31.154192124969015,30.823574809226713,0.9861121528659719,750.0,570.0736739678696,reference,0.0125
0,50.0,100.0,115.42604425264304,42.96792910705983,28.250204141629283,8.740515670303756,0.011811350807140797,800.0,606.2950294894458,reference,0.0125
1,100.0,150.0,115.3106687127714,4.366531003212543,2.544722206946858,1.1953012674155206,0.029441364965019923,800.0,606.2950294894458,reference,0.0125
2,150.0,200.0,115.29122130027909,0.5183590939582814,0.45991686845694346,0.24733928517567838,0.051098938480210965,800.0,606.2950294894458,reference,0.0125
3,200.0,250.0,115.35606794541116,0.5530952670059861,0.4429370638455339,0.3193983829625487,0.059969101540544356,800.0,606.2950294894458,reference,0.0125
0,50.0,100.0,109.87770934471904,11.398637017830069,6.707042108243044,3.620123977346872,0.3859298765069926,850.0,645.4819548424252,reference,0.0125
1,100.0,150.0,109.64701709419336,0.5886042766643556,0.3973751783663886,0.1400242270883502,0.12684997154744249,850.0,645.4819548424252,reference,0.0125
2,150.0,200.0,109.59338245521312,0.4838850419317282,0.3184108922775408,0.06939315069703823,0.05408634311903571,850.0,645.4819548424252,reference,0.0125
3,200.0,250.0,109.54449585323418,0.46182924866226926,0.33678275154191795,0.059625124000630976,0.035540269936301105,850.0,645.4819548424252,reference,0.0125
0,50.0,100.0,104.85219217408583,3.0936373278178735,1.310901619324838,0.3623504529907363,0.0727253447882491,900.0,682.444649204679,reference,0.0125
1,100.0,150.0,104.74534192014454,0.4116068085272815,0.3691409698833894,0.020571122090440857,0.005073985286071503,900.0,682.444649204679,reference,0.0125
2,150.0,200.0,104.72621421607852,0.41885532618181287,0.3176014834864702,0.05958794819531157,0.0354345538766031,900.0,682.444649204679,reference,0.0125
3,200.0,250.0,104.67297615564762,0.511052788468561,0.37180852808423026,0.0771379166502089,0.04483254254885105,900.0,682.444649204679,reference,0.0125
0,50.0,100.0,100.20973409124929,1.0486557611248344,0.532883534226869,0.11385590003432748,0.04625088567246738,950.0,721.2714260182299,reference,0.0125
1,100.0,150.0,100.02331419103761,0.5410692042431862,0.4185578290782672,0.08332088770812336,0.04370573290343105,950.0,721.2714260182299,reference,0.0125
2,150.0,200.0,100.00402461004582,0.46325284774943043,0.40088566871916953,0.04922320246147347,0.019331453893295714,950.0,721.2714260182299,reference,0.0125
3,200.0,250.0,100.03296181589332,0.5132231746846685,0.416311971715956,0.03914031924760628,0.00817224412566242,950.0,721.2714260182299,reference,0.0125
