window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,fit_mode,source_setting_mV
2,150.0,200.0,292.2113151112114,2.3131071426160474,1.8914821410684226,0.16806914854752972,0.008670819977728117,baseline,350.0
3,200.0,250.0,292.16450509992256,2.0780256421864465,1.853779420700107,0.11215435450050817,0.003611234847344047,baseline,350.0
0,50.0,100.0,267.94992944797747,2.749740752438413,2.01811156904796,0.1152492759329924,0.0022226013431015934,baseline,400.0
1,100.0,150.0,267.6376661808801,1.674504652135738,1.4508701503760335,0.1394416578391306,0.004981002858506556,baseline,400.0
2,150.0,200.0,267.7137157071877,1.659004216886899,1.419590013001823,0.1517306864020874,0.007815372202593762,baseline,400.0
3,200.0,250.0,267.71954060794815,1.8130201066719565,1.573230004367474,0.14558542387606224,0.006496766514538566,baseline,400.0
0,50.0,100.0,245.34359660401046,2.414791282250036,2.005374135620798,1.3628539973267275,0.010386155504737427,baseline,450.0
1,100.0,150.0,245.03602120265606,1.6577492040057962,1.1831606910380685,0.39610897394810074,0.02301540622167042,baseline,450.0
2,150.0,200.0,245.0291166334204,1.4233399620959801,1.2387407915296649,0.29691224019927154,0.008495662436613483,baseline,450.0
3,200.0,250.0,245.01912021279466,1.6243427111469089,1.5154602942759823,0.775147241211771,0.006751799802516056,baseline,450.0
0,50.0,100.0,225.38392986818246,2.3779837729302074,1.7559183633337625,1.008726114013311,0.06637445735540537,baseline,500.0
1,100.0,150.0,225.17325843060792,1.2917214517904938,1.1706077204811436,0.11258758323104236,0.0024246431454886253,baseline,500.0
2,150.0,200.0,225.0771776220576,1.3095706023929665,1.1545015242797376,0.21936412979959427,0.0018378256748098343,baseline,500.0
3,200.0,250.0,225.01361595994393,1.0215330592102418,0.942791695212378,0.10047880744702747,0.003173248891456759,baseline,500.0
0,50.0,100.0,208.6557054337455,2.6263590457918724,2.018770283146779,0.30834404993560216,0.038012738404541335,baseline,550.0
1,100.0,150.0,208.13075244089904,1.7766356597817605,1.6904481918158183,0.2116538124346831,0.009100112267284799,baseline,550.0
2,150.0,200.0,207.91045593765062,1.6184822592150852,1.3822402734478487,0.0294651330088392,0.00022122723554274248,baseline,550.0
3,200.0,250.0,207.7567090269948,1.6752950971205962,1.6106657586495317,0.12719101818338893,0.004870667634214065,baseline,550.0
0,50.0,100.0,194.0351556625915,2.189397610850932,1.6593448644717341,0.2987748305398327,0.06898140148610099,baseline,600.0
1,100.0,150.0,193.66336626499444,1.3859716581864063,1.0400761854937173,0.1097505112626727,0.008944382087906155,baseline,600.0
2,150.0,200.0,193.78474026076267,0.877306338931561,0.7867777278157462,0.0724699963625361,0.003346007612137547,baseline,600.0
3,200.0,250.0,193.70171703909926,0.7289497389714086,0.689435877185474,0.0740334139710222,0.006292574752723712,baseline,600.0
0,50.0,100.0,181.923117283348,1.9154249788509503,1.3247816160968569,0.5127009715121528,0.10579815571930162,baseline,650.0
1,100.0,150.0,181.51662631491433,1.001134460066254,0.9042288685731705,0.06574445421934419,0.0013250196876560816,baseline,650.0
2,150.0,200.0,181.32076412955462,1.134663424569709,0.8720365097886145,0.12531448364024056,0.014248610488108882,baseline,650.0
3,200.0,250.0,181.22944413084758,0.9442855929108873,0.8972611544365066,0.15903083955563022,0.01270694311800602,baseline,650.0
0,50.0,100.0,170.98133076797214,1.9761171837195945,1.3248806098395391,0.7171821450141358,0.08542496720433734,baseline,700.0
1,100.0,150.0,170.5881099191594,1.1440218289084783,0.961272524457172,0.6104603890334901,0.006412259747849758,baseline,700.0
2,150.0,200.0,170.38845047409265,1.1656002117959474,1.0816344379605596,0.11726006658395886,0.0014194567430940719,baseline,700.0
3,200.0,250.0,170.35290343150777,0.9633009403345056,0.8712837896618453,0.8039656981728673,0.012491602985877037,baseline,700.0
0,50.0,100.0,161.82956307273295,1.7178488324680359,1.421547658239632,0.23320381593304826,0.028219890202678788,baseline,750.0
1,100.0,150.0,161.86352705830294,1.261779652365533,1.2030987587064317,0.0491646225491269,0.0013787151183547453,baseline,750.0
2,150.0,200.0,161.83861089467462,1.5129916385315596,1.3770159416328056,0.2543162567123991,0.03578957912285996,baseline,750.0
3,200.0,250.0,161.81226792699567,1.3024408068559126,1.2453110588890013,0.07958186160457147,0.003755033369469696,baseline,750.0
0,50.0,100.0,153.16021684658358,1.2623521172812673,1.13045183008893,0.13058525207648813,0.013395958603928393,baseline,800.0
1,100.0,150.0,153.01764576135085,1.2654190338426758,1.0111436262039604,0.1459432698387257,0.022895428633007198,baseline,800.0
2,150.0,200.0,153.10721957653453,1.0961007657249695,0.9637084631726793,0.1575298818333533,0.02811658165666675,baseline,800.0
3,200.0,250.0,153.0531581819116,1.058311097701079,0.9527353217673067,0.12359018378914206,0.017156851089750513,baseline,800.0
0,50.0,100.0,145.21526671148706,1.4765853216807727,1.220045881719983,0.20549721933275586,0.027270469789785534,baseline,850.0
1,100.0,150.0,145.23619428702963,1.3572310171802542,1.2072060525078427,0.06388939523066658,0.0029017349003245263,baseline,850.0
2,150.0,200.0,145.2945373027401,1.1037276590050737,0.9785636210109772,0.0807668078889099,0.005757519271065492,baseline,850.0
3,200.0,250.0,145.28020515830366,1.0794351261060626,1.0230008608056664,0.06259583494369002,0.0040927728789217355,baseline,850.0
0,50.0,100.0,138.37623661587511,1.3069214936030278,1.1645951413716205,0.6418298801827358,0.005565835596356705,baseline,900.0
1,100.0,150.0,138.2791224595771,1.1214907419453937,1.0435472272833124,0.3059124305719019,0.0019030183703786507,baseline,900.0
2,150.0,200.0,138.36152784713812,1.1880492110550733,0.9523474518511534,0.18991587828642137,0.0017975846098947645,baseline,900.0
3,200.0,250.0,138.3009938903431,1.265321750795465,1.1780925713629244,0.5599762805690449,0.006372309804543175,baseline,900.0
0,50.0,100.0,132.04902950207554,1.4507323182316725,1.2419372424142807,0.08237475437379808,0.006532835224245415,baseline,950.0
1,100.0,150.0,131.79810026199144,1.1340227759935715,1.062740510279184,0.15306901033250858,0.015885568620719104,baseline,950.0
2,150.0,200.0,131.78096363228318,1.1961171977013123,1.0758672260808737,0.06364227862747415,0.0035790125882646517,baseline,950.0
3,200.0,250.0,131.93042071558202,1.3127644208187235,1.148830444775939,0.2433324163144127,0.03079462433918634,baseline,950.0
0,50.0,100.0,127.0391853418887,1.56342804207992,1.5262666595325385,0.1998101844139261,0.012131519620627307,baseline,1000.0
1,100.0,150.0,126.95769746585025,1.6509050275623451,1.5158403031218484,0.21341369566312524,0.009892778661296897,baseline,1000.0
2,150.0,200.0,126.96717955377756,1.5535806821382039,1.2910696738648682,0.24498186306286018,0.014412262551269373,baseline,1000.0
3,200.0,250.0,126.9491074278969,1.4549325171865206,1.261431358514855,0.07632804534531042,0.001568587322507975,baseline,1000.0
0,50.0,100.0,117.17472915006064,1.9624108745063467,1.733196854192684,0.3537861069709854,0.005611792434447871,baseline,1100.0
1,100.0,150.0,117.09036627517129,2.0787491653280767,1.7705322118129487,0.19446552867247693,0.005206189979241382,baseline,1100.0
2,150.0,200.0,117.1156887062719,1.9100256505282402,1.6097899975255388,0.3261931445863126,0.008132969695010317,baseline,1100.0
3,200.0,250.0,117.1103072820258,1.789350383979638,1.7026412175482335,0.5540714517818327,0.010299997372377745,baseline,1100.0
0,50.0,100.0,108.96623642125387,1.1668620940250918,1.0509502746003108,0.16061999770763422,0.022479393598123343,baseline,1200.0
1,100.0,150.0,108.91651465323054,1.153504214359316,0.9862492222149655,0.08030707097311236,0.0060361601271158305,baseline,1200.0
2,150.0,200.0,108.90136658029307,1.056935330747578,0.930800582701039,0.16222719633385724,0.02355773783214432,baseline,1200.0
3,200.0,250.0,108.88949517511655,1.1484464153659104,1.0442323690397757,0.06681935571714831,0.0034086941052938746,baseline,1200.0
0,50.0,100.0,95.57080940731166,5.592369286293376,5.262192406761784,0.4602418210530215,0.0039463990914349045,constrained,50.0
